SID;partition;activity;potency;MolWt;LogP;MR;HeavyAtomCount;AtomCount;BondCount;NumHBA;NumHBD;NumRotatableBonds;FractionCSP3;FormalCharge;AromaticRings;AliphaticRings;AromaticAtoms;HeteroatoAromaticAtoms;ms;LabuteASA;nC;nF;nH;nN;nCl;nO;nS;nBr;nI;nP
103168841;103168841;Training;Active;7.12842706445412;441.575;1.9829;116.513;29;29;30;6;2;11;0.368421052631579;0;2;0;12;12;10;172.537747178094;19;0;27;3;0;5;2;0;0;0
405266884;405266884;Training;Active;7.11125903931711;301.781;3.2889;81.787;21;21;23;5;0;4;0.266666666666667;0;3;0;16;16;6;127.742741110961;15;0;16;5;1;0;0;0;0;0
103423600;103423600;Training;Active;7.11069829749369;433.346;3.715;106.4398;27;27;31;5;1;2;0.571428571428571;0;2;3;9;9;6;166.955635943001;21;0;25;2;0;3;0;1;0;0
103560547;103560547;Training;Active;7.10790539730952;500.643;5.2174;143.3472;36;36;41;5;1;6;0.310344827586207;0;4;2;21;21;7;214.262703167556;29;1;29;4;0;1;1;0;0;0
103605085;103605085;Training;Active;7.09691001300806;343.898;5.10440000000001;100.569;24;24;26;2;0;6;0.428571428571429;0;2;1;12;12;3;149.943790328193;21;0;26;1;1;1;0;0;0;0
378171158;378171158;Training;Active;7.07572071393812;444.383;4.1791;100.0644;31;31;34;5;2;5;0.421052631578947;0;3;1;15;15;12;172.254880254162;19;6;18;6;0;0;0;0;0;0
405266924;405266924;Training;Active;7.05998184499234;297.337;2.83702;79.358;22;22;25;5;0;4;0.3125;0;3;1;16;16;6;126.964121247873;16;1;16;5;0;0;0;0;0;0
26757070;26757070;Training;Active;7.05012229596313;350.462;4.1483;102.82;26;26;30;4;0;3;0.5;0;2;3;9;9;4;153.969193667376;22;0;26;2;0;2;0;0;0;0
26753555;26753555;Training;Active;7.05012229596313;385.498;5.86630000000001;107.174;28;28;31;2;0;7;0.5;0;2;2;12;12;4;166.060590096825;24;2;29;1;0;1;0;0;0;0
144205328;144205328;Training;Active;7.05012229596313;371.427;4.5226;99.8590000000001;27;27;29;3;0;7;0.363636363636364;0;2;1;12;12;5;157.546035992141;22;2;23;1;0;2;0;0;0;0
144204759;144204759;Training;Active;7.04624030826677;401.501;4.224;110.9627;29;29;31;2;1;7;0.434782608695652;0;2;1;12;12;6;171.059151860305;23;2;29;3;0;1;0;0;0;0
405266929;405266929;Training;Active;7.03810452633215;333.317;3.4083;79.665;24;24;27;5;0;4;0.3125;0;3;1;16;16;8;135.295192053726;16;3;14;5;0;0;0;0;0;0
405266890;405266890;Training;Active;7.01863449092145;299.765;3.0429;79.673;21;21;24;5;0;4;0.266666666666667;0;3;1;16;16;6;126.736909957432;15;0;14;5;1;0;0;0;0;0
